water, 4.18
ethanol, 2.4
ice, 2.1
steam, 1.7
chloroform, .96
Aluminum, .9
glass, .5
iron, .46
silver, .24
mercury, .14
copper, .385
gold, .129
brass, .38
nickel, .44
lead, .133
zinc, .486
